lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,shear_viscosity,T*_sim_std,P*_sim_std,TotEn_sim_std,shear_viscosity_std
7.0,6.0,0.025,8.69,0.025,8.690744679310345,0.2194072403448275,12.854952586206895,0.6500936123932293,0.0029260272960222,0.0003219271541997,5.02172013926526e-05,0.0288808948375535
7.0,6.0,0.03,1.52,0.03,1.5190691344827585,0.0388693380344827,1.9135497413793103,0.1362455248949096,0.0037260127666822,0.0001555780913098,4.7669763570950514e-05,0.0047578234115981
7.0,6.0,0.03,8.79,0.03,8.790500072413794,0.266956664137931,12.970098655172412,0.6782412812198874,0.0032594411220341,0.0004222592461335,2.6816581987151863e-05,0.0040664646278086
7.0,6.0,0.03,10.0,0.03,9.999401286206895,0.3044797796551723,14.795203310344824,0.7372306737812528,0.0035748161473311,0.0004747218383445,5.095913685205509e-05,0.070217594681323
7.0,6.0,0.036876,1.84,0.036876,1.8400975965517243,0.0589403344137931,2.344215872413793,0.1824851428864561,0.0037441053842878,0.0002310191323804,4.8748719632220853e-05,0.0071091354843482
7.0,6.0,0.036981,1.53,0.036981,1.5297364275862069,0.0464644293103448,1.8448553620689652,0.1599334502093415,0.0041937665264578,0.000209533268924,5.418950251366945e-05,0.0064127948963817
7.0,6.0,0.04,1.6,0.04,1.599728172413793,0.0524984354137931,1.922185375862069,0.2737772282004265,0.004463408204755,0.0002500224029237,5.657430561660421e-05,0.035429516238182
7.0,6.0,0.04,2.8,0.04,2.800120296551724,0.104658142413793,3.802853327586207,0.2756811765167147,0.0032219173717714,0.0003129310709814,4.1279922585413985e-05,0.0300955101639569
7.0,6.0,0.04,5.2,0.04,5.199494382758621,0.2065804258620689,7.459419210344827,0.4733765945560735,0.0029577175197978,0.0004551259237143,3.4488784613416514e-05,0.0892194988576818
7.0,6.0,0.04,6.4,0.04,6.399663006896552,0.2571756837931034,9.279651044827586,0.5507231900842106,0.0031598230232742,0.0005325115895229,3.271825735597854e-05,0.0277706791166714
7.0,6.0,0.04,7.599999999999999,0.04,7.600183010344826,0.3076547017241379,11.098241517241382,0.6735807168334108,0.0034177040246587,0.0006040636081584,5.018532105879916e-05,0.0212098412692959
7.0,6.0,0.04,8.8,0.04,8.799379220689655,0.3579413603448276,12.91356448275862,0.6262122286700067,0.0037519502041165,0.0006559238524296,4.977259129675668e-05,0.0236761286249831
7.0,6.0,0.05,1.3,0.05,1.2998003206896551,0.0441856903103448,1.2584536724137931,0.1871276722071637,0.0082921061886426,0.0003816354567852,0.0001405279907193,0.0177122292757423
7.0,6.0,0.05,1.5,0.05,1.5002348062880324,0.0563832491643001,1.631466774239351,0.1694479077883143,0.0055016803789689,0.000350082005035,8.144772483077512e-05,0.0247814914669913
7.0,6.0,0.05,1.7,0.05,1.6999553015325668,0.0678611826743294,1.967982979693487,0.2153438045586447,0.0047757651185131,0.0003519965938271,6.627360360303787e-05,0.0234882043171375
7.0,6.0,0.05,1.7999999999999998,0.05,1.7999805980842911,0.073512269854406,2.131467535249042,0.2036648839024342,0.0045384532975819,0.000363405287058,6.343506262533788e-05,0.0267709163401277
7.0,6.0,0.05,1.9,0.05,1.8996870220689657,0.0791186896045976,2.2928833045977015,0.2065568872090924,0.004319953856399,0.0003673576700631,6.0698013858177654e-05,0.0174833222033418
7.0,6.0,0.05,2.03,0.05,2.0303515758620687,0.0863867144827586,2.5014080999999995,0.2371888090130613,0.0042294644752741,0.0003832829511184,5.762947089668839e-05,0.0047493615008574
7.0,6.0,0.05,2.4,0.05,2.400241336453202,0.1068149966502462,3.0837492921182266,0.2520487391614799,0.003783214494786,0.0004063705431596,5.044772425503694e-05,0.0166884071637699
7.0,6.0,0.05,2.8,0.05,2.7997321671399593,0.1286616637525354,3.704109813793104,0.3230772607988012,0.003489723559903,0.0004407803899584,4.733036887680223e-05,0.037231092447751
7.0,6.0,0.05,3.8,0.05,3.800077960344827,0.1828475440517241,5.241119949568965,0.396225780759927,0.0032920384148288,0.0005185014042843,4.301683424777619e-05,0.039474309395859
7.0,6.0,0.05,4.6,0.05,4.600022205747127,0.2258405031800766,6.462417139080461,0.5124036179108646,0.0032814096328595,0.0005975639009391,4.079223622190903e-05,0.0325012342449665
7.0,6.0,0.05,5.3,0.05,5.300086540996168,0.2633535780268199,7.528927899042147,0.4647248443575365,0.0033047993669449,0.0006372827207052,3.963826553244816e-05,0.0865023446103509
7.0,6.0,0.05,6.0,0.05,6.000771363691683,0.3008154696551723,8.594730812576065,0.5384543947590068,0.0033795341339739,0.0006987412064198,3.88099249392526e-05,0.0713963533478804
7.0,6.0,0.05,7.200000000000001,0.05,7.19992350795756,0.3646912649071617,10.416578870026523,0.5556529072665991,0.0036888910702336,0.0007868060641807,4.492386578360917e-05,0.0580861906896856
7.0,6.0,0.05,10.0,0.05,10.00075358546798,0.513225779137931,14.66610790886699,0.7225243469760904,0.0044610724278856,0.0009955211033297,7.575117593396985e-05,0.0531982029326097
7.0,6.0,0.051726,1.92,0.051726,1.9198205689655172,0.0824674338275862,2.306029334482759,0.2241883751302095,0.0044994535240297,0.0003999446678664,6.16637656184521e-05,0.0014636551344854
7.0,6.0,0.056257,1.66,0.056257,1.6597014413793103,0.0714221026551724,1.8273419482758624,0.1709873210842191,0.0053161966091085,0.0004224243808627,8.032508166737634e-05,0.0088247563835696
7.0,6.0,0.059272,1.6599999999999997,0.059272,1.6601625793103447,0.0740881457931034,1.792171748275862,0.1787806737061927,0.0053240576403171,0.0004690671129449,8.606982781968612e-05,0.0093036074570531
