lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,thermal_conductivity,T*_sim_std,P*_sim_std,TotEn_sim_std,thermal_conductivity_std
7.0,6.0,0.04,1.6,0.04,1.599728172413793,0.0524984354137931,1.922185375862069,1.1587269461880885,0.004463408204755,0.0002500224029237,5.657430561660421e-05,0.0580829565908636
7.0,6.0,0.05,1.3,0.05,1.2998003206896551,0.0441856903103448,1.2584536724137931,0.6335662142729108,0.0082921061886426,0.0003816354567852,0.0001405279907193,0.0376550224268366
7.0,6.0,0.05,1.8,0.05,1.800122803448276,0.0735159675172413,2.131654472413793,0.7668299394790516,0.0045480551551586,0.0003651530885562,6.352987035036812e-05,0.0077385908251227
7.0,6.0,0.05,1.9,0.05,1.8998290103448277,0.0791190616551724,2.293077275862069,0.7662179361931415,0.00426415143546,0.0003720790596108,6.075834237173974e-05,0.0601374236842233
7.0,6.0,0.05,2.0,0.05,1.9998758793103448,0.0846772803103448,2.452661434482758,0.8870933056241879,0.0043246763356335,0.0003676560689532,5.805527380046104e-05,0.0004046319758944
7.0,6.0,0.05,2.03,0.05,2.0303515758620687,0.0863867144827586,2.5014080999999995,0.851206713190434,0.0042294644752741,0.0003832829511184,5.762947089668839e-05,0.0526147014493573
7.0,6.0,0.05,2.4,0.05,2.400329427586207,0.1068124037931034,3.0839233655172413,0.8109632395312757,0.0037748503119292,0.0004074106238244,4.954276117802365e-05,0.0270091582944905
7.0,6.0,0.05,3.8,0.05,3.80013598275862,0.1828552989655172,5.241211658620689,1.2095155005144242,0.0032877010035326,0.0005145059820712,4.307082030893806e-05,0.077433065937555
7.0,6.0,0.05,4.6,0.05,4.600078261576355,0.2258496179802955,6.462518024630542,1.4711617198099043,0.0032775444352085,0.0005986450135028,4.078846770538112e-05,0.1208671564869563
7.0,6.0,0.05,5.3,0.05,5.2996878844827595,0.263343856637931,7.528291456896552,2.2045624783465234,0.0033436349363053,0.0006392892131332,3.894164901429646e-05,0.1063357202724366
7.0,6.0,0.05,7.2,0.05,7.1999099517241385,0.3646772475862069,10.416510275862068,2.059085090691415,0.003750875146508,0.0007880888555445,4.27325499020402e-05,0.1344697736068103
7.0,6.0,0.05,10.0,0.05,10.000177927586208,0.5131768906896551,14.665138241379308,2.761485762860568,0.0044225391480815,0.0009831144245888,6.709111728180063e-05,0.0603124855202204
7.0,6.0,0.059272,1.66,0.059272,1.660162579310345,0.0740881457931034,1.792171748275862,0.7699376171669272,0.0053240576403171,0.000469067112945,8.606982781968612e-05,0.0139106232110382
7.0,6.0,0.06,4.52,0.06,4.519735734482758,0.2650556458620689,6.253646403448275,2.2710420960553583,0.0036081967040101,0.0007596761812865,4.413121316809474e-05,0.1557565299398948
7.0,6.0,0.06,5.79,0.06,5.7898885931034485,0.3478030793103448,8.193384386206898,2.1051374156842955,0.0036602519370659,0.0009015164300589,4.0572853183057105e-05,0.0356052248453284
7.0,6.0,0.06,6.21,0.06,6.209853834482758,0.3750159927586206,8.83341720689655,1.714682920177737,0.0038323308798425,0.0009382808104273,4.075171485419571e-05,0.141782158464313
7.0,6.0,0.06,6.63,0.06,6.629583079310344,0.402179074137931,9.472947179310344,2.20951019954412,0.003827167144026,0.0010008446158991,3.947712214732741e-05,0.197533238287683
7.0,6.0,0.06,7.05,0.06,7.050952089655173,0.4294647886206896,10.114636620689652,2.6308251827413383,0.0040177819283226,0.0010419238781501,5.1640499676368824e-05,0.0740857727610703
7.0,6.0,0.06,7.47,0.06,7.470286506896552,0.45653736,10.752886034482756,2.2467545275819263,0.0041416166052003,0.0010796489771303,4.6485286636142616e-05,0.3118574287528943
7.0,6.0,0.06,7.89,0.06,7.8902266931034495,0.4836416475862069,11.391930517241375,2.2233106429065064,0.004176001823973,0.0010816211019992,4.959033324546505e-05,0.1630567853260111
7.0,6.0,0.06,8.31,0.06,8.309851768965517,0.5106608803448276,12.030283275862066,2.172352042770722,0.0043946599123431,0.0011587779692509,4.955434127283222e-05,0.1506970299083367
7.0,6.0,0.06,8.74,0.06,8.740777948275863,0.5384418644827587,12.685543,2.422481489507935,0.0045245707829587,0.0012120094870942,5.893120737405721e-05,0.1549281246009315
7.0,6.0,0.06,9.58,0.06,9.580231275862069,0.5923937879310345,13.961655689655172,2.9436212616563697,0.0047334704707269,0.0012738638997584,6.818021057507813e-05,0.1751029041337395
7.0,6.0,0.064069,1.68,0.064069,1.679923668965517,0.0795227678620689,1.768782548275862,1.014913062531213,0.0058653926756116,0.0005302022232104,9.245654422660911e-05,0.0108502964764765
7.0,6.0,0.072752,1.84,0.072752,1.8399731827586208,0.1001251594827586,1.9405378413793104,0.956366921407138,0.0056889611318126,0.0006437180013378,9.293365022465336e-05,0.0026274841449885
7.0,6.0,0.08,1.65,0.08,1.6501126344827586,0.0880363293103448,1.5230720827586206,0.8334652763397662,0.0073135616083139,0.0007647084593302,0.0001304848338786,0.0291965432007403
7.0,6.0,0.083071,2.04,0.083071,2.0399482689655173,0.1291448824137931,2.1620353,1.0105055869977515,0.0055087592801424,0.0008132652388412,8.82410989777986e-05,0.1012327296469477
7.0,6.0,0.083071,2.12,0.083071,2.1198788551724137,0.1369940227586207,2.293430779310345,1.0886084521452972,0.0055415172456322,0.0008327156085679,8.834541080567486e-05,0.0377336087578841
7.0,6.0,0.1,1.7,0.1,1.7004799651542648,0.1037477744156079,1.37192459292196,0.9404852372051956,0.0085137437215385,0.0011526640461102,0.0001856856553808,0.0781092863405172
7.0,6.0,0.1,1.84,0.1,1.840121548275862,0.1216853275862069,1.633233227586207,1.0951904483304546,0.0073344619124209,0.0011052726617024,0.0001414403678059,0.0293542046152562
7.0,6.0,0.1,1.9,0.1,1.8996622868534483,0.1291682870474137,1.7392972913793106,1.0055905861076502,0.0069347511667534,0.0011262412629682,0.0001309287799133,0.1968309834810767
7.0,6.0,0.1,2.0,0.1,2.0002438607758624,0.1416751649999999,1.913877676724138,1.1289926920019293,0.0065368370428231,0.0011424254823647,0.0001173387798325,0.0950066317883397
7.0,6.0,0.1,2.4,0.1,2.4001159482758623,0.1901084317241379,2.5780266482758623,1.134413649890547,0.0055366868218433,0.0011641544457103,8.973384669662387e-05,0.0897527715619187
