lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,self_diffusivity,T*_sim_std,P*_sim_std,TotEn_sim_std,self_diffusivity_std
7.0,6.0,0.005,7.470000000000001,0.005,7.471086206896553,0.0373918555172413,11.16590003448276,165.91634165805243,0.0011758329195931,2.5522286601953457e-05,1.856953381766191e-06,1.4328730241516157
7.0,6.0,0.005,8.74,0.005,8.74020991724138,0.043775215,13.071419758620692,183.11593755950753,0.0013211653761226,2.875774405654589e-05,3.9824689276608063e-05,0.997076983729248
7.0,6.0,0.005,10.0,0.005,9.999706989655172,0.0501067969655172,14.962300068965522,203.45673698018712,0.0014439532685067,3.179857925116685e-05,2.6256756811336994e-06,0.4759352743580746
7.0,6.0,0.00802,1.2,0.00802,1.2000724758620689,0.0090710668275862,1.691835451724138,20.9303735231542,0.0020475002320332,1.930595948624797e-05,2.0359889289634847e-05,0.088471388491741
7.0,6.0,0.008992,1.22,0.008992,1.219895927586207,0.0102791357931034,1.7092269655172416,19.01321551840346,0.0022034758208955,2.3918293745017504e-05,2.2298861815426012e-05,0.0581575318069905
7.0,6.0,0.01,0.8100000000000002,0.01,0.8110071993103448,0.0070038775,1.0338057689655171,10.302130255360634,0.003695896556068,2.8847234726294215e-05,3.123526327598525e-05,0.0353220349512084
7.0,6.0,0.01,0.9200000000000002,0.01,0.9201108106896552,0.0081945787896551,1.2191694620689657,12.186089064009696,0.0028276317471282,2.685924347544105e-05,2.702419819139815e-05,0.0307626423008171
7.0,6.0,0.01,1.02,0.01,1.0203118310344828,0.0092588557,1.381590255172414,13.71066049589046,0.0025950608203535,2.696298941318543e-05,2.4941540289566627e-05,0.0460758597979905
7.0,6.0,0.01,1.13,0.01,1.1299171103448276,0.0104098236551724,1.5552625137931035,15.345457809472284,0.0024330060520595,2.7311340113801072e-05,2.463373961421017e-05,0.0632279362241311
7.0,6.0,0.01,1.23,0.01,1.2297849655172417,0.0114502423103448,1.7113324586206893,17.307574183981195,0.0022465328233308,2.7613812642934568e-05,2.2844994383057016e-05,0.0448618494883996
7.0,6.0,0.01,1.24,0.01,1.2401172068965518,0.0115553247241379,1.727109775862069,17.27391331610406,0.0023692681692382,2.647768523776109e-05,2.28841007327815e-05,0.0352416144931791
7.0,6.0,0.01,1.34,0.01,1.340094951724138,0.0125913201724137,1.88192181724138,18.57964487832458,0.0022091581071392,2.808901222481944e-05,2.2734145512291828e-05,0.0540374761110328
7.0,6.0,0.01,1.45,0.01,1.4502535655172415,0.0137268434482758,2.051477775862069,20.53450040214944,0.002156725982908,2.882220495175923e-05,2.19626380851554e-05,0.034261759488873
7.0,6.0,0.01,1.48,0.01,1.4797431758620692,0.0140331134137931,2.097265379310345,20.5324090441266,0.0020481417595551,2.9336693686963677e-05,2.2689794039988708e-05,0.076738698780262
7.0,6.0,0.01,1.55,0.01,1.5495768620689654,0.0147512487931034,2.2040881896551725,21.77519715725322,0.0020163888572747,2.9570812372782267e-05,2.1584329987718427e-05,0.0797798899864489
7.0,6.0,0.01,1.6599999999999997,0.01,1.6594693586206894,0.0158787189310344,2.371791279310345,23.46085038824192,0.0019465666262869,3.063049043045867e-05,2.1291143305166436e-05,0.1183426031018185
7.0,6.0,0.01,1.7600000000000002,0.01,1.7598467000000002,0.0169072398965517,2.5247030310344822,24.654614029850176,0.0019214037712633,3.06113529136753e-05,2.1432464558332484e-05,0.0484204511181523
7.0,6.0,0.01,1.8700000000000003,0.01,1.8700091482758616,0.0180356008275862,2.6922363137931034,26.12113125461019,0.0018525658065755,3.176736746633599e-05,2.0982214978086985e-05,0.119687986136459
7.0,6.0,0.01,1.93,0.01,1.9301589413793103,0.0186513996206896,2.7838125206896547,26.968155590203747,0.0018763142892885,3.2601288178344504e-05,2.03290774423874e-05,0.0836970907288225
7.0,6.0,0.01,1.98,0.01,1.9800560310344832,0.0191595174137931,2.8591997103448277,27.52397993594721,0.0017978415652167,3.254459572337652e-05,2.0657998722777306e-05,0.0443793991292782
7.0,6.0,0.01,2.03,0.01,2.0299147275862066,0.0196690653448275,2.9349982758620685,27.8667323226737,0.0017865134330771,3.287844991534519e-05,2.118903657327596e-05,0.1386538876674543
7.0,6.0,0.01,2.08,0.01,2.0802583655172415,0.0201843797586206,3.011377906896552,28.955396077848256,0.0017181362240396,3.286664769138288e-05,2.0369092221488856e-05,0.0829109482630482
7.0,6.0,0.01,2.19,0.01,2.190234317241379,0.0213071227241379,3.177943962068965,30.508325295647108,0.0017603233721845,3.458596716431442e-05,2.0046305721790485e-05,0.0977505756889456
7.0,6.0,0.01,2.29,0.01,2.290033124137931,0.0223240577586206,3.328883072413794,31.380491798108125,0.0017245307709324,3.461779803039089e-05,2.0239381427608323e-05,0.0572205678868234
7.0,6.0,0.01,2.38,0.01,2.3798748379310344,0.0232400932413793,3.4647660413793107,32.63248634102813,0.0016855905994018,3.593253829839162e-05,2.017819063230329e-05,0.0630775979159737
7.0,6.0,0.01,2.4,0.01,2.3996994,0.0234423991034482,3.494734296551724,33.29265366812528,0.0016876993200288,3.537628759393196e-05,2.009004364293438e-05,0.0948062213542132
7.0,6.0,0.01,2.83,0.01,2.829985637931035,0.027824112275862,4.1445762448275865,37.96710963436237,0.0016014520316906,4.002194811346128e-05,1.902056921503458e-05,0.1279599037562083
7.0,6.0,0.01,3.28,0.01,3.2801670896551727,0.0324014906206896,4.823427782758621,43.34203880098537,0.0015905500985405,4.260862111031812e-05,1.9251634622646174e-05,0.2923494396622073
